DispoCode,Code,Succession,Elephant,VillDist,RoadDist,ParkDist,Park,Succ2,Temp,Prec,PrecDryQt,Elev,SoilPCA1,SoilPCA2
NRI_P073,MBGU_45,Primaire,Active,1.148248625,18.16391668,34.47113122,0,Prm,23.4,204.7,2.4,614,0.108533665,1.365842797
NRI_P074,MBYA_113,Primaire,Active,19.74100955,19.98414527,55.2088124,0,Prm,23.7,161.2,15.9,536,-0.092556036,-1.35964361
NRI_P075,MDMN_81,Exploitee,Ancienne piste/pas d'activite,8.289784247,8.916437537,42.59983405,0,Exp,24.4,199.8,3.7,480,0.108533665,1.365842797
NRI_P076,MDMU_131,Secondaire,Ancienne piste/pas d'activite,2.258497066,2.440578675,81.99373758,0,Sec,23.7,176.5,20.8,619,0.247116504,-1.05396485
NRI_P077,MES_027,Secondaire,Ancienne piste/pas d'activite,1.859882253,5.234388389,15.80033596,0,Sec,23.9,165.9,9.9,506,-0.092556036,-1.35964361
NRI_P078,MGGO_37,Primaire,Active,9.534119205,33.04765892,18.41922074,0,Prm,24.3,190.6,4.3,435,-10.1335921,-2.146697313
NRI_P080,MIK_119,Primaire,Active,66.78647465,87.92237812,0,1,Prm,23.9,162.3,14.9,554,-0.092556036,-1.35964361
NRI_P081,MIK_120,Primaire,Active,22.0122003,43.33286157,19.89165165,0,Prm,23.8,162.7,12.8,524,-0.092556036,-1.35964361
NRI_P082,MIK_128,Primaire,Active,52.58857526,102.25596,0,1,Prm,23.9,159.3,19.5,513,-0.092556036,-1.35964361
NRI_P083,MIK_355,Primaire,Active,35.38077262,35.35362503,28.19255978,0,Prm,23.9,162.9,10.9,527,-0.092556036,-1.35964361
NRI_P084,MIK_362,Primaire,Active,49.61980798,48.33415051,19.33185311,0,Prm,24.1,161.2,11,500,-0.092556036,-1.35964361
NRI_P085,MIK_369,Primaire,Active,60.67829484,63.89557054,3.606776434,0,Prm,23.9,162.4,12.7,528,-0.092556036,-1.35964361
NRI_P086,MIK_377,Primaire,Active,66.9393503,75.14036136,0,1,Prm,23.8,162.8,13.6,551,-0.092556036,-1.35964361
NRI_P087,MIK_391,Primaire,NA,61.73256803,99.74567687,0,1,Prm,23.9,160.9,17.6,528,-0.092556036,-1.35964361
NRI_P089,MIK_393,Primaire,Ancienne piste/pas d'activite,51.75464073,88.99429194,0,1,Prm,23.4,165.4,18.4,640,-0.092556036,-1.35964361
NRI_P090,MIK_398,Primaire,Active,65.34305637,113.8802596,0,1,Prm,23.8,159.5,19.4,522,-0.092556036,-1.35964361
NRI_P091,MIK_400,Secondaire,Active,75.24684913,123.2753481,0,1,Sec,23.8,160.9,19.3,551,-0.092556036,-1.35964361
NRI_P092,MIK_402,Secondaire,Ancienne piste/pas d'activite,38.89134117,82.26320428,0,1,Sec,23.6,164.7,19.6,610,-0.092556036,-1.35964361
NRI_P093,MIK_404,Secondaire,Ancienne piste/pas d'activite,40.19000413,85.28741447,0,1,Sec,23.6,164.7,19.6,605,-0.092556036,-1.35964361
NRI_P094,MIK_407,Secondaire,Ancienne piste/pas d'activite,44.15093626,90.28343261,0,1,Sec,23.6,164.4,19.6,606,-0.092556036,-1.35964361
NRI_P098,MIK_418,Primaire,Active,87.45044667,120.7563469,0,1,Prm,23.7,159.1,17.8,527,-0.092556036,-1.35964361
NRI_P099,MIK_419,Primaire,Ancienne piste/pas d'activite,48.27931828,86.54571154,0,1,Prm,23.5,164.9,19.3,624,-0.092556036,-1.35964361
NRI_P100,MIK_420,Primaire,NA,33.81922369,56.64106099,8.576084732,0,Prm,23.9,164.5,14.4,547,-0.092556036,-1.35964361
NRI_P101,MIK_421,Primaire,Active,27.36575429,66.1691063,0.965459496,0,Prm,23.8,161.3,15.4,533,-0.092556036,-1.35964361
NRI_P103,MIK_425,Primaire,Active,45.91942993,95.37779754,0,1,Prm,23.8,159.9,18.7,526,-0.092556036,-1.35964361
NRI_P104,MIK_428,Primaire,Active,50.12717642,86.87342435,0,1,Prm,24,162.6,16.5,533,-0.092556036,-1.35964361
NRI_P105,MIK_461,Secondaire,Ancienne piste/pas d'activite,73.1055182,122.5514646,0,1,Sec,23.8,160.1,18.9,541,-0.092556036,-1.35964361
NRI_P106,MIN_021,Exploitee,Ancienne piste/pas d'activite,15.40976531,15.04408769,4.507530398,0,Exp,24.4,159,6.3,466,-0.092556036,-1.35964361
NRI_P107,MIN_316,Primaire,Active,5.947817752,5.509316399,23.72326578,0,Prm,24.3,159,6.4,476,-0.092556036,-1.35964361
NRI_P108,MIN_331,Exploitee,Active,8.301879119,8.226924534,18.02486014,0,Prm,23.8,164,9.3,547,-0.092556036,-1.35964361
NRI_P109,MIN_333,Primaire,Ancienne piste/pas d'activite,7.68811781,7.341881814,25.54311853,0,Prm,24.4,158.5,6.4,473,-0.092556036,-1.35964361
NRI_P110,MINA_76,Primaire,Active,7.313440695,6.115441713,68.30827216,0,Prm,23.9,170.4,7.5,438,0.221918794,1.137765611
NRI_P113,MKB_417,Secondaire,Ancienne piste/pas d'activite,92.88800601,145.1602773,0,1,Sec,23.5,161.6,17.2,606,-0.092556036,-1.35964361
NRI_P114,MKB_418,Secondaire,Active,89.34989271,134.3229089,0,1,Sec,23.6,160.6,18,560,-0.092556036,-1.35964361
NRI_P115,MKB_420,Primaire,Active,50.56742937,78.18712187,0,1,Exp,24.1,162.3,15.1,509,-0.092556036,-1.35964361
NRI_P118,MKBO_112,Primaire,Ancienne piste/pas d'activite,9.128594126,4.510022975,33.23600001,0,Prm,23.7,159.7,14.1,531,-0.092556036,-1.35964361
NRI_P119,MKDD_11,Exploitee,Active,11.26060913,50.31143825,0,1,Prm,24.5,178.6,0.9,274,0.108533665,1.365842797
NRI_P120,MKDD_17,Primaire,Active,21.43683489,85.05778508,0,1,Prm,23.8,194.1,1.4,363,0.108533665,1.365842797
NRI_P122,MKLB_29,Exploitee,Active,7.673122386,55.69915967,0,1,Prm,24.4,201.9,1.5,248,0.108533665,1.365842797
NRI_P123,MKMG_88,Primaire,Active,7.873793605,7.2304346,38.13640935,0,Prm,23.6,168.8,8.7,557,0.221918794,1.137765611
NRI_P124,MKND_72,Secondaire,Ancienne piste/pas d'activite,11.38687563,27.53224211,11.24349712,0,Sec,25.6,170.1,2.6,275,0.221918794,1.137765611
NRI_P125,MLGB_7,Secondaire,Active,4.65863913,80.72862431,89.4535764,0,Sec,25.6,136.6,0.2,93,7.3545893,-2.07527607
NRI_P126,MLLE_73,Secondaire,Ancienne piste/pas d'activite,11.19056869,15.50817818,25.06335851,0,Sec,25.1,161.6,4.3,301,0.221918794,1.137765611
NRI_P129,MND_8,Secondaire,NA,2.824170469,0.741524648,9.407875493,0,Sec,25.6,310.2,3.9,44,-0.345365371,4.929998266
NRI_P130,MRBU_20,Secondaire,Ancienne piste/pas d'activite,2.859498233,0.421736775,84.28896985,0,Sec,26,177.9,0.8,144,7.3545893,-2.07527607
NRI_P131,MSB_110,Secondaire,NA,0.716275773,1.846282789,15.29600708,0,Sec,23.9,166.2,9.8,503,-0.092556036,-1.35964361
