"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"1","ACDG_P015",-0.720226084398512,-2.293546732491,"Sec",0.350196500018648,-1.34543882798301,-0.245505496683791,1,-0.635625291347429,-0.210210076148686,0.670952606747935
"2","ACDG_P016",0.0605604596889593,-2.46515810762704,"Prm",-1.18066248577725,-1.03150626100041,-0.245505496683791,1,0.388010722735637,-0.0747696475274376,0.620170857705669
"3","ACDG_P041",-1.0343356136291,-2.23324837595597,"Exp",0.17009544286619,-0.75852142014598,-0.245505496683791,1,-0.521444036356567,-0.284125759763632,-0.051666022389684
"4","ACDG_P052",-0.482400297981064,-2.53847646517563,"Exp",-0.100056142862499,-1.24989413368396,-0.245505496683791,1,0.535743294582378,-0.314081146719124,-0.0585655372605744
"5","ACDG_P053",-0.792022548222647,-2.55054526798539,"Exp",0.080044914289959,-1.23624489164124,-0.245505496683791,1,0.357316135288229,-0.335160088073069,-0.0850573285798702
"6","ACDG_P055",-0.895229964969841,-2.49077958244449,"Exp",-0.0100056142862685,-1.02126932946837,-0.245505496683791,0,0.218196995087056,-0.211197824478467,-0.100308138684667
"7","CAFI_P001",-1.3484451428597,0.598902423125322,"Exp",0.980550200052253,2.5753059487888,-0.245505496683791,1,0.0196612729627476,-0.31274464895415,-0.0330013468608533
"8","CAFI_P002",1.27212578672124,1.44643524187872,"Sec",-1.09061195720102,-0.36951802192841,-0.136575481585022,1,-0.732225903216813,0.74567208739706,-0.221275078157074
"9","CAFI_P003",-1.24075044712349,0.418859627110836,"Exp",1.34075231435717,1.95085312533428,-0.245505496683791,1,-0.505105575950585,-0.323143008871623,0.0227057744387023
"10","CAFI_P005",0.316335362062441,-0.310717004786242,"Sec",-0.19010667143873,-0.516247373887669,-0.245505496683791,0,0.0629781170957922,0.356802706192786,-0.381403843920371
"11","CAFI_P006",0.608008496347991,0.819511920135296,"Prm",-0.640359314319877,-0.847241493423671,-0.136575481585022,1,-0.555769744562271,-0.0794283967612196,-0.246874475285209
"12","CAFI_P007",0.603521217358982,0.818964029969909,"Prm",-0.640359314319877,-0.847241493423671,-0.136575481585022,1,-0.564204679587002,-0.0678771350299491,-0.229621863821259
"13","CAFI_P008",1.00288904738073,1.88356027882953,"Sec",-0.640359314319877,-0.662976725846927,-0.136575481585022,0,-0.701142763586362,1.069836799557,-0.125393620455292
"14","CAFI_P009",1.22276571784215,0.896893796410499,"Exp",-2.08116777153954,1.58573590069148,-0.245505496683791,1,-0.155450509160707,-0.0579283887652536,-0.0531252814787402
"15","CAFI_P010",1.13302013806198,0.845529093405521,"Exp",-1.99111724296332,1.55161279558467,-0.245505496683791,1,-0.596131176963593,0.166671785944623,0.0217264892139509
"16","CAFI_P011",0.047098622721934,-0.301707255399887,"Sec",0.17009544286619,-0.669801346868289,-0.245505496683791,0,-0.760483608693116,-0.0606036772071914,-0.160133517733784
"17","CAFI_P012",-0.446502066068996,0.0251548857669021,"Exp",0.980550200052253,-1.0861032291713,-0.245505496683791,0,-0.12501744187928,-0.255752215250507,-0.311687254660049
"18","CAFI_P013",1.07917279019388,1.72793664310289,"Exp",-0.730409842896104,-0.594730515633319,-0.136575481585022,0,-0.649639214436798,0.127437466084946,-0.230936481192665
"19","CAFI_P014",1.07019823221586,1.72133913236136,"Sec",-0.640359314319877,-0.567432031547876,-0.136575481585022,0,-0.651313613582443,1.18292289546753,-0.0514741130393102
"20","CAFI_P015",1.23622755480917,1.44787345356286,"Exp",-1.18066248577725,-0.178428633330306,-0.136575481585022,0,-0.492899039655018,1.0233335264609,-0.0753907767419164
"21","CAFI_P016",0.172742434414171,-1.32907741135575,"Exp",0.080044914289959,0.251522491015428,2.54273910783674,0,-0.204214784795652,-0.359924568348683,0.00223910614956147
